Topics,Alpha,Beta,Coherence_C_V,Coherence_C_U_mass
30,0.7000000000000001,0.61,,-2.025000625694263
30,0.7000000000000001,0.9099999999999999,,-2.672519441317394
30,1.0000000000000002,0.01,0.905621693405438,-1.5968002051986414
30,1.0000000000000002,0.31,,-1.7592703056040315
30,1.0000000000000002,0.61,,-2.1694371013054905
30,1.0000000000000002,0.9099999999999999,,-2.9627049261362637
30,1.3000000000000003,0.01,0.8996027607902292,-1.7851892762571624
30,1.3000000000000003,0.31,,-3.0953777916713365
30,1.3000000000000003,0.61,,-2.520106778573248
30,1.3000000000000003,0.9099999999999999,,-2.4467158791781425
30,1.6000000000000003,0.01,0.9163648395817375,-1.630741839914825
30,1.6000000000000003,0.31,,-1.860503349056219
30,1.6000000000000003,0.61,,-2.8018986194420514
30,1.6000000000000003,0.9099999999999999,,-3.6854949832243857
30,1.9000000000000004,0.01,0.8564010447009576,-2.488071046644468
30,1.9000000000000004,0.31,,-1.2604813668296393
30,1.9000000000000004,0.61,,-2.260952814354601
30,1.9000000000000004,0.9099999999999999,,-4.049461128513488
30,2.2000000000000006,0.01,0.8606644943187878,-2.4974977380112358
30,2.2000000000000006,0.31,0.9148135128233583,-1.6995880785451267
30,2.2000000000000006,0.61,,-1.9831820324218654
30,2.2000000000000006,0.9099999999999999,,-2.642671912845036
30,2.5000000000000004,0.01,0.8877627281050674,-2.163926480909652
30,2.5000000000000004,0.31,,-1.796117681539666
30,2.5000000000000004,0.61,,-3.3386355732484287
30,2.5000000000000004,0.9099999999999999,,-3.470788410515888
30,2.8000000000000003,0.01,0.942970278607165,-1.028044872704936
30,2.8000000000000003,0.31,0.9368577691660003,-1.1381642646567123
30,2.8000000000000003,0.61,,-2.803118069012123
30,2.8000000000000003,0.9099999999999999,,-3.5750955247342264
30,3.1000000000000005,0.01,0.8614921729213044,-2.3802715893386477
30,3.1000000000000005,0.31,,-0.5583808405644326
30,3.1000000000000005,0.61,,-2.595291273417244
30,3.1000000000000005,0.9099999999999999,,-2.737430895193122
30,3.400000000000001,0.01,0.9183437120177059,-1.238170590378864
30,3.400000000000001,0.31,0.9198520220362073,-1.4931383718406315
30,3.400000000000001,0.61,,-2.3558232958542242
30,3.400000000000001,0.9099999999999999,,-2.84340267381873
30,3.7000000000000006,0.01,0.899477571561542,-1.6889244790729872
30,3.7000000000000006,0.31,,-2.7172106590742633
30,3.7000000000000006,0.61,,-2.621118398792591
30,3.7000000000000006,0.9099999999999999,,-3.4383120751826177
30,4.0,0.01,0.9081083029871009,-1.6291063146155276
30,4.0,0.31,,-2.4513570773396016
30,4.0,0.61,,-3.404990962877868
30,4.0,0.9099999999999999,,-2.511104022632608
30,4.300000000000001,0.01,0.8747381306714437,-2.326798504898492
30,4.300000000000001,0.31,0.8805156238399252,-2.1755091431788274
30,4.300000000000001,0.61,,-3.5149469788050762
30,4.300000000000001,0.9099999999999999,,-2.5646150239674412
30,4.6000000000000005,0.01,0.8941408457981223,-1.9484298577311412
30,4.6000000000000005,0.31,,-1.3816055881349276
30,4.6000000000000005,0.61,,-1.9477912828842487
30,4.6000000000000005,0.9099999999999999,,-2.8005096330814294
30,4.9,0.01,0.9037183041746757,-1.737199896122336
30,4.9,0.31,,-3.0210972841326784
30,4.9,0.61,,-1.9535824678740852
30,4.9,0.9099999999999999,,-3.4822119227665604
35,0.1,0.01,0.9223994814777348,-1.4446460090310127
35,0.1,0.31,,-1.9585067399747764
35,0.1,0.61,,-1.8590215928182565
35,0.1,0.9099999999999999,,-2.944348948179922
35,0.4,0.01,0.829736843932491,-2.98168418728377
35,0.4,0.31,,-2.2733173644397797
35,0.4,0.61,,-2.4803008371045676
35,0.4,0.9099999999999999,,-3.3274454346982063
35,0.7000000000000001,0.01,0.8303323925903043,-2.7590450158264703
35,0.7000000000000001,0.31,,-2.0131603220462497
35,0.7000000000000001,0.61,,-2.2859438054428893
35,0.7000000000000001,0.9099999999999999,,-3.6988470101345072
35,1.0000000000000002,0.01,0.9114795753843628,-1.7201417789068265
35,1.0000000000000002,0.31,,-1.271510073386138
35,1.0000000000000002,0.61,,-2.984049594851052
35,1.0000000000000002,0.9099999999999999,,-2.5459807710298112
35,1.3000000000000003,0.01,0.8743243256090572,-2.036130004858491
35,1.3000000000000003,0.31,,-1.7330573696025522
35,1.3000000000000003,0.61,,-2.9913396014542863
35,1.3000000000000003,0.9099999999999999,,-3.176645252720791
35,1.6000000000000003,0.01,0.8844123245066501,-1.9972368197160453
35,1.6000000000000003,0.31,,-3.3270324454483684
35,1.6000000000000003,0.61,,-2.3883045995811334
35,1.6000000000000003,0.9099999999999999,,-2.6929826088954685
35,1.9000000000000004,0.01,0.8650142698063277,-2.5380384821273356
35,1.9000000000000004,0.31,,-1.6504107955606606
35,1.9000000000000004,0.61,,-2.0962388620152894
35,1.9000000000000004,0.9099999999999999,,-3.4110133013775736
35,2.2000000000000006,0.01,0.9130567053003135,-1.629480970729644
35,2.2000000000000006,0.31,,-2.7816037315620057
35,2.2000000000000006,0.61,,-2.460631015329164
35,2.2000000000000006,0.9099999999999999,,-2.9373982864193775
35,2.5000000000000004,0.01,0.8835929998094105,-1.9428280832906206
35,2.5000000000000004,0.31,,-1.864283019295613
35,2.5000000000000004,0.61,,-2.0904009787203703
35,2.5000000000000004,0.9099999999999999,,-3.7104235721879135
35,2.8000000000000003,0.01,0.830845910099074,-2.6763926864677905
35,2.8000000000000003,0.31,,-1.6751144081433522
35,2.8000000000000003,0.61,,-1.9288981627037791
35,2.8000000000000003,0.9099999999999999,,-4.407895066109445
35,3.1000000000000005,0.01,0.9113895816149284,-1.58950577165693
35,3.1000000000000005,0.31,,-2.0266031658985333
35,3.1000000000000005,0.61,,-2.766191057711943
35,3.1000000000000005,0.9099999999999999,,-2.9311538085649165
